Variedad;Productor;Fecha_cosecha;Sigla;Evaluacion;Color;Tratamiento;Repetici—n;N_Bayas;Peso;Calibre_Ecuatorial;Calibre_polar;Color pag y dato;L*;a*;b*;c;h;TSS;PH;Gasto;Acidez_titulable;Firmeza
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;6;6.16;21.07;22.18;;3.90;6.95;0.89;7.006753885;7.297440727;;;;;242.013
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;7;7.58;22.24;24.70;;32.47;9.86;3.56;10.48299576;19.85235843;;;;;227.463
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;8;6.85;21.23;23.05;;33.87;11.98;3.69;12.53540985;17.11953125;;;;;213.11
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;9;6.51;20.22;24.36;;38.33;7.36;6.80;10.02045907;42.73524545;;;;;219.25
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;10;6.44;21.07;24.41;;42.57;4.17;8.67;9.62069644;64.31389462;;;;;223.461
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;1;10.53;24.45;27.19;707.00;33.88;9.35;3.65;10.03718088;21.32439737;16.90;3.42;6.15;0.92;266.568
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;2;7.74;22.35;24.71;;28.97;3.45;-0.08;3.450927412;358.6716403;;;;;259.446
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;3;11.36;25.55;28.40;;33.41;10.24;3.45;10.80555875;18.61939465;;;;;254.034
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;4;6.83;22.24;23.19;;32.17;9.90;3.62;10.54108154;20.08527104;;;;;223.816
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;5;8.16;22.86;24.68;;34.38;11.44;4.11;12.15589158;19.76162408;;;;;233.095
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;6;7.39;21.29;24.88;;29.74;5.37;0.71;5.416733333;7.531734767;;;;;213.085
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;7;6.76;20.67;24.72;;32.20;9.25;2.78;9.658721447;16.72765348;;;;;221.919
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;8;11.50;26.03;27.06;;31.06;7.96;1.95;8.195370644;13.7649426;;;;;214.769
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;9;6.48;20.36;23.64;;30.14;6.32;1.40;6.473206315;12.49040572;;;;;236.962
SC;Palo Alto;21-Feb;T0 A R1;E00;A;0h;R1;10;8.80;23.36;26.74;;33.49;1.18;4.28;4.439684673;74.58641846;;;;;230.079
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;1;7.97;23.01;25.04;717.00;31.22;8.48;1.95;8.701315992;12.95019764;17.90;3.49;5.50;0.83;262.46
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;2;8.85;22.86;25.24;;37.97;9.85;7.54;12.40459995;37.43341423;;;;;249.483
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;3;9.77;24.68;25.30;;31.90;9.36;3.21;9.895135168;18.92933925;;;;;230.638
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;4;9.25;23.45;26.48;;32.52;11.97;4.04;12.6333883;18.6500759;;;;;253.537
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;5;9.31;23.76;25.50;;34.02;10.71;4.87;11.76524543;24.45201553;;;;;220.843
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;6;9.06;23.86;24.91;;33.54;12.68;4.91;13.59744461;21.16759785;;;;;240.966
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;7;7.85;21.86;24.81;;33.30;8.87;2.61;9.246026173;16.39653445;;;;;231.283
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;8;9.41;23.92;25.62;;33.69;12.46;5.24;13.51699671;22.80898077;;;;;231.537
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;9;9.48;23.57;26.36;;32.46;11.12;4.56;12.01865217;22.29715788;;;;;246.941
SC;Palo Alto;21-Feb;T0 A R2;E00;A;0h;R2;10;8.59;23.41;25.18;;33.91;10.54;4.36;11.4061913;22.47303228;;;;;243.787
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;1;9.22;24.15;25.29;727.00;31.02;8.69;2.36;9.004759852;15.19373238;17.90;3.74;5.65;0.85;254.676
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;2;6.33;21.66;20.52;;30.66;6.28;1.63;6.488089087;14.55028527;;;;;235.181
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;3;10.03;24.42;26.39;;32.22;9.60;3.45;10.20110288;19.76716868;;;;;224.679
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;4;8.30;22.75;25.13;;34.02;11.78;4.90;12.75846386;22.58532029;;;;;240.826
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;5;7.67;22.16;23.95;;31.69;10.30;3.61;10.91430712;19.31482063;;;;;248.635
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;6;9.76;23.99;26.93;;29.55;4.99;1.11;5.111966354;12.54096467;;;;;237.463
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;7;8.94;23.51;25.71;;35.48;12.00;5.65;13.26357795;25.21261959;;;;;240.626
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;8;11.24;25.98;27.36;;32.32;12.45;4.68;13.30056014;20.60142202;;;;;243.917
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;9;7.87;22.59;24.40;;30.77;8.13;2.33;8.457292711;15.99192487;;;;;250.526
SC;Palo Alto;21-Feb;T0 A R3;E00;A;0h;R3;10;7.82;22.64;23.76;;31.15;9.51;3.14;10.01497379;18.27212576;;;;;247.15
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;1;9.10;23.89;25.50;737.00;32.81;10.02;3.38;10.57472458;18.6405548;16.10;3.56;5.70;0.86;251.976
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;2;9.62;24.37;26.15;;33.63;10.55;4.03;11.29351141;20.90638296;;;;;237.097
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;3;10.66;25.67;25.56;;30.52;6.76;0.75;6.801477781;6.330888973;;;;;249.991
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;4;8.43;22.54;25.73;;29.53;5.53;0.45;5.548279012;4.652154759;;;;;233.586
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;5;7.94;22.86;24.36;;32.22;9.87;2.04;10.07861598;11.67785128;;;;;265.709
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;6;10.45;25.32;25.96;;31.43;9.62;2.54;9.949673361;14.79045931;;;;;236.667
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;7;9.55;24.57;25.56;;33.69;11.66;2.17;11.86020657;10.54249728;;;;;251.04
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;8;8.57;23.56;24.90;;31.70;7.23;0.41;7.241615842;3.245662086;;;;;250.812
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;9;7.81;22.43;24.21;;33.69;11.66;2.17;11.86020657;10.54249728;;;;;241.207
SC;Palo Alto;21-Feb;T0 A R4;E00;A;0h;R4;10;8.90;23.99;24.44;;31.55;7.75;1.04;7.819469291;7.64306369;;;;;262.301
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;1;7.57;21.70;24.62;747.00;28.93;2.71;0.07;2.710903908;1.479635771;19.10;3.55;5.25;0.79;232.243
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;2;6.54;20.54;23.75;748.00;28.80;3.72;0.14;3.722633476;2.155275621;;;;;237.083
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;3;6.95;22.57;22.67;749.00;29.09;3.13;-0.41;3.156738824;352.5372914;;;;;229.069
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;4;8.02;22.08;25.75;750.00;29.28;3.70;0.31;3.712963776;4.789271651;;;;;229.493
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;5;8.22;22.68;25.71;751.00;29.30;3.51;0.32;3.52455671;5.209146549;;;;;218.444
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;6;9.64;23.75;26.07;752.00;29.27;3.80;0.55;3.839596333;8.235619324;;;;;226.501
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;7;7.66;22.57;23.98;753.00;31.34;8.89;2.30;9.182706573;14.50537434;;;;;226.815
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;8;7.56;22.26;23.79;754.00;29.49;3.51;0.47;3.541327435;7.626717883;;;;;244.484
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;9;7.34;22.16;23.59;755.00;29.08;3.25;0.06;3.250553799;1.057648089;;;;;230.857
SC;Palo Alto;21-Feb;T0 A R5;E00;A;0h;R5;10;6.71;20.64;23.46;756.00;29.51;4.14;0.03;4.140108694;0.415179541;;;;;215.893
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;1;8.99;23.53;25.37;761.00;29.21;6.00;1.14;6.107339846;10.75796709;18.70;3.59;4.55;0.68;265.089
SC;Palo Alto;21-Feb;T0 A R6;E00;A;0h;R6;2;13.31;26.97;28.54;;30.60;1.22;3.38;3.593438465;70.15311714;;;;;254.363
