VARIABLES;Productor;Variedad;Tiempo;Total_racimo;Color;Tratamientos;Repeticion ;N_Racimo ;VERDE;AMARILLO ;PARDO ;TOTAL ;Verde;Amarillo ;Pardo ;Nota_6;Hue
AL_18H_V_T10-3_R0001.JPG;Delirio ;AL;T10;1;V;18;R1;1;178598;102836;212801;494235;36.14;20.81;43.06;;27.51
AL_18H_V_T10-3_R0002.JPG;Delirio ;AL;T10;2;V;18;R1;2;165643;280338;434405;880386;18.81;31.84;49.34;;24.04
AL_18H_V_T10-3_R0003.JPG;Delirio ;AL;T10;3;V;18;R2;1;48208;162119;272301;482628;9.99;33.59;56.42;;22.86
AL_18H_V_T10-3_R0004.JPG;Delirio ;AL;T10;4;V;18;R2;2;5835;85516;260370;351721;1.66;24.31;74.03;;20.19
AL_18H_V_T10-3_R0005.JPG;Delirio ;AL;T10;5;V;18;R3;1;230242;157163;278667;666072;34.57;23.6;41.84;;27.3
AL_18H_V_T10-3_R0006.JPG;Delirio ;AL;T10;6;V;18;R3;2;268724;209578;301146;779448;34.48;26.89;38.64;;27.12
AL_18H_V_T10-3_R0007.JPG;Delirio ;AL;T10;7;V;18;R4;1;47502;159865;264338;471705;10.07;33.89;56.04;;22.52
AL_18H_V_T10-3_R0008.JPG;Delirio ;AL;T10;8;V;18;R4;2;25790;117789;220246;363825;7.09;32.38;60.54;;21.88
AL_3H_A_T10-3_R_0001.JPG;Delirio ;AL;T10;1;A;3H;R1;1;120414;178860;124835;424109;28.39;42.17;29.43;;27.11
AL_3H_A_T10-3_R_0002.JPG;Delirio ;AL;T10;2;A;3H;R1;2;259545;124216;116618;500379;51.87;24.82;23.31;;29.81
AL_3H_A_T10-3_R_0003.JPG;Delirio ;AL;T10;3;A;3H;R2;1;127275;158201;118078;403554;31.54;39.2;29.26;;27.06
AL_3H_A_T10-3_R_0004.JPG;Delirio ;AL;T10;4;A;3H;R2;2;238071;227781;205205;671057;35.48;33.94;30.58;;27.44
AL_3H_A_T10-3_R_0005.JPG;Delirio ;AL;T10;5;A;3H;R3;1;133048;204603;154776;492427;27.02;41.55;31.43;;26.99
AL_3H_A_T10-3_R_0006.JPG;Delirio ;AL;T10;6;A;3H;R3;2;166234;176547;112428;455209;36.52;38.78;24.7;;29.9
AL_3H_A_T10-3_R_0007.JPG;Delirio ;AL;T10;7;A;3H;R4;1;167425;264602;212034;644061;26;41.08;32.92;;26.28
AL_3H_A_T10-3_R_0008.JPG;Delirio ;AL;T10;8;A;3H;R4;2;144941;258309;142888;546138;26.54;47.3;26.16;;27.35
AL_3H_V_T10-3_R_0001.JPG;Delirio ;AL;T10;1;V;3H;R1;1;98629;94862;105564;299055;32.98;31.72;35.3;;26.88
AL_3H_V_T10-3_R_0002.JPG;Delirio ;AL;T10;2;V;3H;R1;2;302904;225994;189174;718072;42.18;31.47;26.34;;28.61
AL_3H_V_T10-3_R_0003.JPG;Delirio ;AL;T10;3;V;3H;R2;1;325442;161033;181487;667962;48.72;24.11;27.17;;29.59
AL_3H_V_T10-3_R_0004.JPG;Delirio ;AL;T10;4;V;3H;R2;2;192567;119431;125918;437916;43.97;27.27;28.75;;28.65
AL_3H_V_T10-3_R_0005.JPG;Delirio ;AL;T10;5;V;3H;R3;1;205257;141604;182050;528911;38.81;26.77;34.42;;27.39
AL_3H_V_T10-3_R_0006.JPG;Delirio ;AL;T10;6;V;3H;R3;2;330196;222827;133631;686654;48.09;32.45;19.46;;30.12
AL_3H_V_T10-3_R_0007.JPG;Delirio ;AL;T10;7;V;3H;R4;1;221399;156126;130929;508454;43.54;30.71;25.75;;28.9
AL_3H_V_T10-3_R_0008.JPG;Delirio ;AL;T10;8;V;3H;R4;2;330400;300960;258313;889673;37.14;33.83;29.03;;27.67
